TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Verona","Value",OBS_VALUE,255824
1989_1993,"Proportion of journeys to work by bicycle","Verona","Value",OBS_VALUE,5.7
1989_1993,"Proportion of journeys to work by foot","Verona","Value",OBS_VALUE,10.1
1994_1998,"Total population in Urban Audit cities","Verona","Value",OBS_VALUE,250798
1999_2002,"Total population in Urban Audit cities","Verona","Value",OBS_VALUE,253208
1999_2002,"Proportion of journeys to work by bicycle","Verona","Value",OBS_VALUE,4.7
1999_2002,"Proportion of journeys to work by foot","Verona","Value",OBS_VALUE,7.4
1999_2002,"Proportion of journeys to work by car or motor cycle","Verona","Value",OBS_VALUE,80.2
2003_2006,"Total population in Urban Audit cities","Verona","Value",OBS_VALUE,259068

