TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Caserta","Value",OBS_VALUE,69027
1989_1993,"Proportion of journeys to work by bicycle","Caserta","Value",OBS_VALUE,1.1
1989_1993,"Proportion of journeys to work by foot","Caserta","Value",OBS_VALUE,11.0
1994_1998,"Total population in Urban Audit cities","Caserta","Value",OBS_VALUE,72203
1999_2002,"Total population in Urban Audit cities","Caserta","Value",OBS_VALUE,75208
1999_2002,"Proportion of journeys to work by bicycle","Caserta","Value",OBS_VALUE,1.6
1999_2002,"Proportion of journeys to work by foot","Caserta","Value",OBS_VALUE,10.5
1999_2002,"Proportion of journeys to work by car or motor cycle","Caserta","Value",OBS_VALUE,81.6
2003_2006,"Total population in Urban Audit cities","Caserta","Value",OBS_VALUE,79488

